benchmark,run,result
clobber-arg,baseline,3
clobber-arg,lvn,missing
nonlocal,baseline,7
nonlocal,lvn,incorrect
clobber-fold,baseline,10
clobber-fold,lvn,incorrect
redundant,baseline,6
redundant,lvn,6
redundant-dce,baseline,6
redundant-dce,lvn,6
reassign,baseline,3
reassign,lvn,3
nonlocal-clobber,baseline,missing
nonlocal-clobber,lvn,missing
idchain-nonlocal,baseline,missing
idchain-nonlocal,lvn,missing
logical-operators,baseline,missing
logical-operators,lvn,missing
divide-by-zero,baseline,missing
divide-by-zero,lvn,missing
idchain,baseline,5
idchain,lvn,5
commute,baseline,missing
commute,lvn,missing
fold-comparisons,baseline,missing
fold-comparisons,lvn,missing
idchain-prop,baseline,missing
idchain-prop,lvn,missing
clobber,baseline,10
clobber,lvn,incorrect
rename-fold,baseline,7
rename-fold,lvn,incorrect
